"Name","Gross Export","Share","Code","Sector"
"Polycarboxylic acids","122400","0.00023867049958627314","2917","Chemicals"
"Carboxylic acids with additional oxygen function","69758","0.0001360226855403533","2918","Chemicals"
"Phosporic esters","185926","0.0003625412688405018","2919","Chemicals"
"Esters of other inorganic acids of nonmetals","100651","0.0001962616376949181","2920","Chemicals"
"Amine-function compounds","2677","0.000005219942217258604","2921","Chemicals"
"Oxygen-function amino-compounds","1506922","0.002938380936091061","2922","Chemicals"
"Quaternary ammonium salts and hydroxides","139200","0.0002714291956079185","2923","Chemicals"
"Carboxyamide-function compounds","173191","0.0003377090073026653","2924","Chemicals"
"Diazo-, azo-, or azoxy-compounds","4051","0.000007899135570457455","2927","Chemicals"
"Organix derivatives of hydrazine","5494","0.00001071287356803092","2928","Chemicals"
"Isocyanates","1562109","0.003045991302599784","2929","Chemicals"
"Organo-sulfur compounds","19573","0.00003816583078759905","2930","Chemicals"
"Other organo-inorganic compounds","179816","0.00035062724308501056","2931","Chemicals"
"Heterocyclic compounds with oxygen hetero-atom(s) only","11368","0.000022166717641313343","2932","Chemicals"
"Heterocyclic compounds with nitrogen hetero-atom(s) only","1868230","0.003642903492173718","2933","Chemicals"
"Nucleic acids and their salts","215414","0.00042004058004801835","2934","Chemicals"
"Sulfonamides","202270","0.0003944108002558453","2935","Chemicals"
"Vitamins","454522","0.00088628262102085","2936","Chemicals"
"Glycosides","1693","0.0000033012185931336633","2938","Chemicals"
"Vegetable alkaloids","59446","0.00011591508593468621","2939","Chemicals"
"Other sugars, chemically pure","18464","0.00003600336686569401","2940","Chemicals"
"Antibiotics","29027","0.00005660039698930352","2941","Chemicals"
"Other organic compounds","123985","0.0002417611265621248","2942","Chemicals"
"Heparin for therapeutic use","37830","0.00007376556372016923","3001","Chemicals"
"Serums and vaccines","1676888","0.003269801443711","3002","Chemicals"
"Medicaments, not packaged","62642196","0.12214742005311471","3003","Chemicals"
"Medicaments, packaged","251616464","0.4906325748938849","3004","Chemicals"
"Wadding, gauze and bandages","48014956","0.0936254373867069","3005","Chemicals"
"Pharmaceutical goods","1057954","0.0020629281839811765","3006","Chemicals"
"Animal or vegetable fertilizers","114960","0.00022416307706240161","3101","Chemicals"
"Nitrogenous fertilizers","597862016","1.1657845264900035","3102","Chemicals"
"Phosphatic fertilizers","107376056","0.20937497491114085","3103","Chemicals"
"Potassic fertilizers","13184301","0.02570836361409968","3104","Chemicals"
"Mixed fertilizers","25728200","0.050167993034767586","3105","Chemicals"
"Vegetable tanning extracts","39436","0.00007689713906604794","3201","Chemicals"
"Synthetic tanning substances","18830","0.00003671703845759414","3202","Chemicals"
"Coloring matter of animal or vegetable origin","332848","0.0006490277650840837","3203","Chemicals"
"Synthetic organic coloring matter","3772259","0.007355612255709274","3204","Chemicals"
"Color lakes","25096","0.000048935252104714964","3205","Chemicals"
"Other coloring matter","5395982","0.010521746075968442","3206","Chemicals"
"Prepared pigments","5168546","0.010078263529041124","3207","Chemicals"
"Paints and varnishes, nonaqueous","86298800","0.1682759616805218","3208","Chemicals"
"Paints and varnishes, aqueous","12144858","0.023681530443336162","3209","Chemicals"
"Other paints and varnishes","6749194","0.013160404442685273","3210","Chemicals"
"Prepared driers","1719920","0.003353710503663586","3211","Chemicals"
"Pigments, nonaqueous","3318528","0.006470872023292776","3212","Chemicals"
"Artists' colors","706891","0.001378382582704577","3213","Chemicals"
"Glaziers' putty","7911808","0.01542741150319177","3214","Chemicals"
"Ink","4022379","0.007843326841955342","3215","Chemicals"
"Essential oils","30677570","0.0598188803757587","3301","Chemicals"
"Mixtures of odoriferous subtances","260345408","0.5076533381728113","3302","Chemicals"
"Perfumes","1407734","0.002744972034841361","3303","Chemicals"
"Make-up preparations","30422422","0.05932136157977473","3304","Chemicals"
"Hair products","61241848","0.11941685014498857","3305","Chemicals"
"Dental hygiene products","43640900","0.08509636769113225","3306","Chemicals"
"Toiletries","4665396","0.00909716008241667","3307","Chemicals"
"Soap","63903220","0.12460631897525754","3401","Chemicals"
"Cleaning products","147484016","0.28758238382115936","3402","Chemicals"
"Lubricants","28409994","0.055397283179926655","3403","Chemicals"
"Artificial and prepared waxes","321451","0.0006268044996936853","3404","Chemicals"
"Polishes and creams","1081075","0.002108012339380966","3405","Chemicals"
"Candles","215721","0.00042063920621936623","3406","Chemicals"
"Modeling pastes","2499","0.000004872856033219743","3407","Chemicals"
"Casein","144019","0.00028082587156793686","3501","Chemicals"
"Albumins","38128","0.00007434664059007698","3502","Chemicals"
"Gelatin","6379982","0.012440469700093383","3503","Chemicals"
"Dextrins and other modified starches","1185188","0.002311024608363202","3505","Chemicals"
"Glues and adhesives","54824752","0.10690401102560071","3506","Chemicals"
"Enzymes","3424","0.000006676534236792478","3507","Chemicals"
"Propellant powders","198469","0.0003869991452809481","3601","Chemicals"
"Matches","60240","0.0001174633243061854","3605","Chemicals"
"Ferrocerium and other pyrophoric alloys","405227","0.0007901611971882901","3606","Chemicals"
